id,Woi,CAPEX,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
78,9.606974052,155.3353431,9,without,with,without,CAHM,12.33223549,4,,,HPGR_Fines,35,0.69092156,,,,
79,15.23535088,131.816818,10,with,without,with,SAG,10.17227375,1,without,,Mono_Roll,37,0.739347563,8,,,
80,18.51669194,96.97379533,9,without,without,without,CAHM,15.26511836,4,,,BallMill,36,0.7,,,,
81,8.454983078,1641.772303,5,with,without,without,CAHM,14.78036812,6,,,HPGR_Fines,31,0.745200627,,,,
82,15.55995222,2276.382208,3,without,without,without,HPGR,,7,,,Mono_Roll,28,0.680973073,,8,4.587282139,2.490139257
83,14.42576142,1384.263354,1,with,with,without,SAG,12.33223549,1,without,,BallMill,32,0.755606364,,,,
84,309.6506404,31626.62504,9,with,without,with,HPGR,,2,,,BallMill,36,0.700732507,1,3,4.549363729,1.531935138
85,14.00603286,1574.905234,5,without,without,without,SAG,10.38678355,4,without,,Mono_Roll,33,0.693544652,,,,
86,14.22790543,485.0725176,0,without,without,without,SAG,14,2,without,,Mono_Roll,27,0.724904621,,,,
87,14.86201706,4429.840187,4,with,with,without,CAHM,14,4,,,BallMill,34,0.777983336,,,,
88,10.35922729,1489.353585,6,without,with,without,CAHM,13.98302716,0,,,HPGR_Fines,34,0.777983336,,,,
89,11.83829344,517.1120423,1,without,with,without,CAHM,12.33223549,2,,,Mono_Roll,31,0.69092156,,,,
90,10.91304381,554.822439,0,without,without,with,CAHM,15.31097986,6,,,HPGR_Fines,33,0.745200627,9,,,
91,9.511498411,136.491851,9,without,without,without,CAHM,14.41478703,1,,,HPGR_Fines,33,0.7,,,,
92,11.94720585,1305.22357,8,with,without,with,CAHM,14.3291247,1,,,BallMill,27,0.751481687,7,,,
93,18.04820012,3617.449903,4,with,without,with,HPGR,,5,,,Mono_Roll,33,0.706339772,5,1,3.655725896,0.84156362
94,14.28008832,2152.018762,3,without,with,without,SAG,14,4,with,0,Mono_Roll,27,0.727034931,,,,
95,12.68253511,244.8699212,10,with,without,without,HPGR,,4,,,Mono_Roll,29,0.737723744,,6,2.091240646,2.850033418
96,16.68301399,2783.810612,4,without,without,without,SAG,10.39646897,8,without,,BallMill,32,0.755606364,,,,
97,14.60366694,619.1747518,8,with,without,without,SAG,14.3291247,1,without,,BallMill,32,0.690778497,,,,
98,14.47193272,504.8582799,0,without,without,without,CAHM,11.87892734,3,,,BallMill,33,0.692373091,,,,
99,9.054677966,2198.389174,3,with,without,without,SAG,13.54076431,8,without,,HPGR_Fines,28,0.762889137,,,,
100,11.87089234,83.52438994,10,with,without,without,SAG,16.41870453,4,with,5,Mono_Roll,27,0.737723744,,,,
101,11.50259123,796.5205834,8,without,without,without,HPGR,,7,,,HPGR_Fines,33,0.778414536,,6,2.158495284,1.801813802
102,9.13716533,131.3703947,9,without,without,without,CAHM,15.26511836,0,,,HPGR_Fines,30,0.7,,,,
103,9.792972593,652.3682869,8,without,without,without,CAHM,14.78036812,6,,,HPGR_Fines,33,0.707508048,,,,
104,16.24460973,55.59189346,9,without,without,without,SAG,15.36510088,5,with,0,BallMill,27,0.7,,,,
105,13.81488339,1076.354653,0,with,without,without,CAHM,15.31097986,7,,,BallMill,33,0.747649386,,,,
106,15.58380282,561.8894498,10,without,without,with,HPGR,,4,,,Mono_Roll,28,0.724045009,8,7,4.039980705,0.934305176
107,14.15788629,62.52833372,9,without,without,without,SAG,14,4,with,0,Mono_Roll,27,0.7,,,,
108,10.0550874,722.8499503,8,without,with,with,CAHM,11.93096028,7,,,HPGR_Fines,35,0.688563907,8,,,
109,9.172444152,672.2447261,8,without,without,without,CAHM,10.65932457,4,,,HPGR_Fines,35,0.69092156,,,,
110,12.83912963,103.1761452,9,with,without,without,SAG,13.54076431,8,without,,Mono_Roll,33,0.750388712,,,,
111,11.31077091,488.7553171,0,without,without,without,CAHM,11.87892734,4,,,BallMill,27,0.692373091,,,,
112,11.14335184,637.819357,8,without,without,without,SAG,11.87861308,7,with,9,HPGR_Fines,32,0.742655682,,,,
113,10.85219287,998.6607307,7,without,without,without,CAHM,16.49021521,4,,,Mono_Roll,27,0.7,,,,
114,10.0526913,615.3749494,8,without,without,without,SAG,11.29704399,1,with,7,HPGR_Fines,27,0.7,,,,
115,14.4180795,485.0109082,0,without,without,without,SAG,14,2,without,,Mono_Roll,27,0.756977219,,,,
116,11.12471027,89.6072923,10,with,without,without,SAG,12.53146521,4,without,,Mono_Roll,29,0.737723744,,,,
117,10.16996653,678.6821111,0,without,without,without,HPGR,,4,,,HPGR_Fines,29,0.753819585,,6,3.41179488,3.047578524
118,9.184583883,187.0037247,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,36,0.745200627,,,,
119,9.809876481,122.666479,9,without,without,with,CAHM,13.41152749,7,,,HPGR_Fines,31,0.742655682,8,,,
120,15.64996662,505.2929664,1,without,with,without,SAG,14,2,without,,Mono_Roll,31,0.7,,,,
121,18.56753502,212.7940421,9,without,without,without,HPGR,,1,,,Mono_Roll,33,0.773875162,,8,4.269509844,3.819508102
122,8.717671275,2239.581887,3,with,without,without,CAHM,15.31097986,8,,,HPGR_Fines,33,0.745200627,,,,
123,12.61981837,514.7745514,0,without,without,without,CAHM,12.33223549,3,,,Mono_Roll,33,0.722120701,,,,
124,14.4799773,623.6940438,8,without,without,with,SAG,10.01206814,7,with,10,BallMill,27,0.7,8,,,
125,10.87635785,144.3811116,2,without,without,with,HPGR,,8,,,HPGR_Fines,31,0.7,8,4,2.936630622,2.155681715
126,8.679083637,657.0160733,8,without,with,without,CAHM,10.98937652,6,,,HPGR_Fines,33,0.745200627,,,,
127,10.04603896,528.0530683,0,with,without,without,CAHM,10.23158111,0,,,BallMill,28,0.692373091,,,,
128,11.6439936,89.79046574,9,without,without,without,SAG,14,4,with,9,HPGR_Fines,27,0.7,,,,
129,10.1776994,1957.280333,4,without,without,without,SAG,10.39646897,8,without,,HPGR_Fines,29,0.753819585,,,,
130,12.47710712,1586.269268,5,with,without,without,SAG,17.61305522,6,without,,Mono_Roll,29,0.737723744,,,,
131,8.027563461,676.898515,8,with,without,without,CAHM,11.29704399,6,,,HPGR_Fines,33,0.739347563,,,,
132,64.99113173,17864.57433,10,with,without,with,SAG,11.87892734,1,without,,BallMill,37,0.742655682,4,,,
133,15.80169064,60.58186642,9,without,with,without,SAG,14,4,with,0,BallMill,27,0.7,,,,
134,8.89544695,553.2593121,0,without,without,without,CAHM,11.87892734,6,,,HPGR_Fines,33,0.745200627,,,,
135,15.36815139,211.032159,2,with,with,without,HPGR,,8,,,Mono_Roll,37,0.696639362,,0,2.850628844,0.862332503
136,20.41340341,607.615709,10,without,without,without,HPGR,,1,,,Mono_Roll,37,0.739347563,,7,4.269509844,2.655131309
137,9.374690554,2139.647548,4,with,without,without,HPGR,,2,,,HPGR_Fines,29,0.739347563,,6,3.41179488,3.047578524
138,20.78993443,570.091522,9,without,without,with,HPGR,,4,,,BallMill,33,0.693544652,7,7,4,2.4
139,9.791421018,699.9498509,8,without,without,with,CAHM,13.24487621,7,,,HPGR_Fines,33,0.688563907,8,,,
140,11.06875578,109.6208707,9,without,without,without,SAG,12.27641874,8,without,,HPGR_Fines,31,0.69092156,,,,
141,12.82735243,88.29109757,9,with,with,without,SAG,14.3291247,1,without,,BallMill,27,0.7,,,,
142,8.666816437,641.9276565,1,with,with,without,HPGR,,1,,,HPGR_Fines,31,0.69092156,,1,2.406395112,1.314890643
143,11.56807465,158.9499119,10,with,without,without,HPGR,,8,,,Mono_Roll,29,0.737723744,,1,2.091240646,0.862332503
144,9.181188739,654.4040786,8,without,without,without,CAHM,12.33223549,2,,,HPGR_Fines,33,0.75728276,,,,
145,15.31139707,139.0493879,2,without,without,without,HPGR,,4,,,Mono_Roll,33,0.731030226,,3,2.871410058,0.934305176
146,10.6505896,89.94071588,9,with,with,without,SAG,12.78044373,4,without,,Mono_Roll,27,0.7,,,,
147,122.2322027,30439.15469,9,without,with,with,SAG,14,4,with,0,HPGR_Fines,33,0.7,1,,,
148,11.81101062,94.90044448,2,without,without,without,SAG,17.77946351,4,without,,HPGR_Fines,27,0.7,,,,
149,11.08837705,689.1555788,8,without,without,without,CAHM,14.40733232,4,,,HPGR_Fines,37,0.706368319,,,,
150,15.71853399,120.6141597,9,with,without,without,CAHM,11.87892734,8,,,BallMill,36,0.742655682,,,,
151,8.561549438,1641.764602,5,with,without,without,CAHM,14.78036812,6,,,HPGR_Fines,31,0.768974256,,,,
152,8.366686701,117.5875612,9,without,without,without,CAHM,12.27641874,4,,,HPGR_Fines,30,0.69092156,,,,
153,8.895093723,657.8236653,8,without,with,without,CAHM,12.33223549,4,,,HPGR_Fines,33,0.707508048,,,,
154,11.52582535,96.66446068,9,with,with,without,SAG,14,1,with,0,Mono_Roll,27,0.7,,,,
155,6.961161924,140.0085466,9,with,without,without,CAHM,10.58718869,1,,,HPGR_Fines,29,0.69092156,,,,
156,8.294701749,152.0122521,9,with,with,without,CAHM,15.26511836,4,,,HPGR_Fines,31,0.7,,,,
157,7.822442232,663.9175458,8,with,without,without,CAHM,13.54231903,4,,,HPGR_Fines,30,0.745200627,,,,
158,14.31976999,600.1919593,0,with,without,without,SAG,11.87861308,7,without,,BallMill,33,0.739347563,,,,
159,204.7038199,33240.41784,9,without,without,with,SAG,14,4,with,0,HPGR_Fines,28,0.7,0,,,
160,9.08009594,621.3779301,1,with,with,without,CAHM,10.65932457,5,,,HPGR_Fines,37,0.69092156,,,,
161,14.12983295,55.3262028,9,without,without,without,SAG,12.78044373,5,with,0,BallMill,27,0.7,,,,
162,8.528485436,579.8170952,0,with,with,without,CAHM,14.3291247,1,,,HPGR_Fines,31,0.779763756,,,,
163,13.48653502,2189.941827,3,without,without,without,CAHM,14.41478703,0,,,Mono_Roll,33,0.737723744,,,,
164,8.553844261,551.2102202,1,without,with,without,CAHM,12.33223549,7,,,HPGR_Fines,31,0.69092156,,,,
165,9.463949749,196.9369236,9,with,with,without,CAHM,12.27641874,1,,,HPGR_Fines,36,0.745200627,,,,
166,9.238887501,560.0616671,1,with,without,without,SAG,12.27641874,4,without,,HPGR_Fines,31,0.69092156,,,,
167,11.49997221,1630.899542,5,with,without,without,CAHM,10.46879254,0,,,Mono_Roll,34,0.745200627,,,,
168,7.562808726,546.6264703,0,with,without,without,CAHM,14.3291247,4,,,HPGR_Fines,27,0.755606364,,,,
169,11.81195653,123.7629104,10,with,with,without,CAHM,10.65932457,7,,,Mono_Roll,34,0.77657186,,,,
170,8.773724814,547.0882688,1,with,with,without,SAG,13.34621694,1,with,5,HPGR_Fines,27,0.7,,,,
171,8.67946971,1990.512887,4,without,without,without,CAHM,11.87892734,6,,,HPGR_Fines,33,0.707508048,,,,
172,9.256305279,722.9812843,8,with,with,without,HPGR,,1,,,HPGR_Fines,31,0.765614811,,3,3.230414224,0.911676471
173,18.51669194,110.7084965,9,without,without,without,CAHM,15.26511836,0,,,BallMill,36,0.7,,,,
174,15.8437406,80.89029891,9,without,with,without,SAG,13.89334398,4,with,0,Mono_Roll,31,0.721042875,,,,
175,12.37119274,488.7861218,0,without,without,without,CAHM,14.3291247,4,,,BallMill,27,0.701467174,,,,
176,12.16170356,110.8031213,9,without,without,with,SAG,12.27641874,7,without,,HPGR_Fines,31,0.742655682,8,,,
177,7.287867229,131.6929817,10,with,without,without,CAHM,11.87892734,8,,,HPGR_Fines,29,0.745200627,,,,
178,14.79876639,121.8569032,9,with,without,without,SAG,13.54076431,8,without,,Mono_Roll,36,0.736638231,,,,
179,9.204817013,168.8812313,9,with,with,without,CAHM,14,9,,,HPGR_Fines,34,0.777983336,,,,
180,15.8366713,2422.132079,9,with,with,without,CAHM,10.32366703,2,,,BallMill,36,0.77657186,,,,
181,8.294701749,581.8370455,1,with,with,without,CAHM,15.26511836,1,,,HPGR_Fines,31,0.7,,,,
182,7.702596657,1619.214652,5,with,without,without,CAHM,14.78036812,4,,,HPGR_Fines,27,0.745200627,,,,
183,10.61694653,107.7630439,10,with,without,without,CAHM,12.27641874,8,,,Mono_Roll,31,0.737723744,,,,
184,9.084954266,713.0055424,8,with,without,without,CAHM,10.65932457,7,,,HPGR_Fines,37,0.690778497,,,,
185,9.74472439,758.4286024,1,with,with,without,HPGR,,4,,,HPGR_Fines,31,0.7,,6,2.406395112,1.314890643
186,7.592877766,141.3775826,9,with,without,without,CAHM,11.29704399,6,,,HPGR_Fines,30,0.739347563,,,,
187,16.38282713,125.2353959,9,without,without,with,HPGR,,8,,,Mono_Roll,31,0.773875162,8,1,3.655725896,0.84156362
188,11.30925619,85.11965296,9,with,without,without,SAG,14,4,without,,Mono_Roll,27,0.7,,,,
189,10.6505896,89.94071588,9,with,with,without,SAG,12.78044373,4,without,,Mono_Roll,27,0.7,,,,
190,9.631216843,179.0084375,9,with,with,without,CAHM,17.41595363,8,,,HPGR_Fines,35,0.750388712,,,,
191,10.82112862,599.6603158,0,with,without,without,SAG,14,4,with,0,HPGR_Fines,36,0.7,,,,
192,8.155549526,99.62301874,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
193,11.92059748,116.5243887,9,without,with,without,SAG,14.3291247,0,without,,HPGR_Fines,29,0.7,,,,
194,14.09093549,2244.721485,9,with,with,without,SAG,14.3291247,1,without,,BallMill,29,0.776370226,,,,
195,195.4510347,33280.02205,9,without,without,with,CAHM,13.41152749,7,,,HPGR_Fines,33,0.7,0,,,
196,11.01897958,166.4695512,9,without,without,without,CAHM,14,7,,,HPGR_Fines,37,0.7,,,,
197,9.784427902,1629.064975,8,without,without,without,HPGR,,6,,,HPGR_Fines,33,0.745200627,,5,3.72639532,2.368266876
198,15.82592493,56.1568959,9,without,without,without,SAG,14,4,with,9,BallMill,27,0.698849281,,,,
199,13.24386117,80.09850215,9,with,without,without,SAG,15.72262779,4,with,0,BallMill,27,0.7,,,,
200,13.19135249,135.3986899,9,without,with,without,SAG,14,4,with,0,HPGR_Fines,34,0.777983336,,,,
201,9.427859061,519.7334765,0,with,without,without,CAHM,14,4,,,Mono_Roll,27,0.735863303,,,,
202,12.76440367,65.61649429,9,without,with,without,SAG,12.39324995,4,without,,Mono_Roll,27,0.7,,,,
203,10.6505896,89.94071588,9,with,with,without,SAG,12.78044373,4,without,,Mono_Roll,27,0.7,,,,
204,7.313308081,123.8548262,9,with,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
205,10.80476,85.11772767,9,with,without,without,SAG,13.54231903,4,without,,Mono_Roll,27,0.7,,,,
206,10.04806562,143.1451699,9,with,without,without,SAG,14.41478703,7,without,,HPGR_Fines,33,0.7,,,,
207,22.16329272,148.8975629,9,without,without,without,HPGR,,4,,,BallMill,36,0.7,,2,4.375380717,0.95346153
208,8.155549526,99.62301874,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
209,12.40466865,117.5089245,9,without,with,without,SAG,13.89334398,4,with,9,HPGR_Fines,31,0.721042875,,,,
210,11.82285606,97.9458933,9,with,without,without,SAG,12.27641874,8,without,,Mono_Roll,31,0.69092156,,,,
211,9.839497193,1614.294265,5,with,without,without,SAG,14.78036812,1,with,0,HPGR_Fines,27,0.7,,,,
212,11.81032802,91.66312585,9,with,without,without,SAG,14,4,without,,Mono_Roll,29,0.7,,,,
213,11.28335268,85.12542885,9,with,without,without,SAG,14,4,without,,Mono_Roll,27,0.69092156,,,,
214,11.0731559,167.3712247,9,without,without,without,CAHM,14.41478703,4,,,HPGR_Fines,37,0.704216114,,,,
215,10.38791483,351.8978369,9,with,with,without,HPGR,,4,,,HPGR_Fines,34,0.7,,6,2.093281229,1.979089175
216,9.813331763,534.8285726,0,with,without,without,SAG,17.77946351,4,without,,HPGR_Fines,27,0.7,,,,
217,11.6439936,89.44058041,9,without,without,without,SAG,14,4,with,0,HPGR_Fines,27,0.7,,,,
218,9.176287586,136.4244657,9,without,without,without,CAHM,13.19107736,1,,,HPGR_Fines,33,0.750388712,,,,
219,7.44405272,128.6874409,9,with,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
220,10.66918219,72.71077205,9,without,without,without,CAHM,14,4,,,Mono_Roll,27,0.7,,,,
221,13.35961703,219.413826,9,without,without,without,HPGR,,4,,,Mono_Roll,27,0.7,,6,4.040529311,1.847850627
222,10.66918219,77.95164487,9,without,without,without,CAHM,14,1,,,Mono_Roll,27,0.7,,,,
223,11.87692551,96.55055914,2,without,without,without,SAG,17.77946351,4,with,0,HPGR_Fines,27,0.7,,,,
224,8.553844261,130.4093318,10,without,with,without,CAHM,12.33223549,1,,,HPGR_Fines,31,0.69092156,,,,
225,7.44405272,128.6874409,9,with,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
226,9.720205277,71.58024646,9,without,without,without,CAHM,11.87892734,8,,,Mono_Roll,27,0.7,,,,
227,12.23642399,125.659298,9,without,without,without,SAG,14.41478703,1,with,10,HPGR_Fines,33,0.7,,,,
228,155.610167,26718.60036,9,with,without,with,SAG,15.72262779,4,with,0,BallMill,27,0.7,2,,,
229,7.644059363,187.9536278,9,with,without,without,HPGR,,4,,,HPGR_Fines,27,0.745200627,,0,2.422683991,0.627976984
230,8.222185363,115.6313024,10,with,without,without,SAG,10.58718869,1,with,5,HPGR_Fines,27,0.69092156,,,,
231,140.5816593,26498.33702,9,with,with,with,CAHM,15.26511836,4,,,HPGR_Fines,27,0.7,2,,,
232,57.65810865,22750.65215,9,without,without,with,CAHM,14.41478703,1,,,Mono_Roll,33,0.7,3,,,
233,7.51043715,1624.012612,5,with,with,without,CAHM,14.3291247,4,,,HPGR_Fines,27,0.730541648,,,,
234,8.541426318,121.4534237,9,without,without,without,CAHM,12.27641874,8,,,HPGR_Fines,31,0.69092156,,,,
235,7.623464315,546.6149185,0,with,without,without,CAHM,14.3291247,4,,,HPGR_Fines,27,0.779763756,,,,
236,12.20810038,107.4340023,9,without,without,without,SAG,14,4,with,0,HPGR_Fines,30,0.69092156,,,,
237,12.50016151,1125.219508,8,with,without,without,CAHM,14,4,,,BallMill,30,0.745200627,,,,
238,8.541426318,544.2539473,0,without,without,without,CAHM,12.27641874,8,,,HPGR_Fines,31,0.69092156,,,,
